length,has_delegatecall,has_call,has_selfdestruct,has_msg_sender,txFreq,poolDepth,alertLevel,label
4366,0,0,0,1,3,10000,5,0
2898,0,0,0,0,3,10000,5,0
2639,0,0,0,1,3,10000,5,0
3106,0,0,0,1,3,10000,5,0
2199,0,0,0,1,3,10000,5,0
2710,1,0,0,1,3,10000,5,0
2110,0,0,0,0,3,10000,5,0
2778,0,0,0,0,3,10000,5,0
2670,0,0,0,1,3,10000,5,0
2713,0,0,0,0,3,10000,5,0
2355,0,0,0,1,3,10000,5,0
15117,0,0,0,0,3,10000,5,1
11507,0,0,0,1,3,10000,5,0
5007,0,0,0,1,3,10000,5,0
5309,0,0,0,1,3,10000,5,0
2434,0,0,0,0,3,10000,5,0
2905,0,0,0,0,3,10000,5,0
2088,0,0,0,0,3,10000,5,0
2282,0,0,0,1,3,10000,5,0
7072,0,0,0,1,3,10000,5,0
12400,0,0,0,1,3,10000,5,0
2741,0,0,0,1,3,10000,5,0
3571,0,0,0,1,3,10000,5,0
3760,0,0,0,0,3,10000,5,0
2364,0,0,0,0,3,10000,5,0
3617,0,0,0,1,3,10000,5,0
4245,0,0,0,1,3,10000,5,0
3157,0,0,0,1,3,10000,5,0
5934,0,1,0,1,3,10000,5,0
2508,0,0,0,0,3,10000,5,0
5808,0,1,0,1,3,10000,5,0
2168,0,0,0,0,3,10000,5,0
2698,0,0,0,1,3,10000,5,0
5927,0,0,0,1,3,10000,5,1
5010,0,0,0,1,3,10000,5,0
4116,0,0,0,1,3,10000,5,1
9603,0,0,0,0,3,10000,5,0
1695,0,0,0,1,3,10000,5,0
1962,0,0,0,1,3,10000,5,0
3148,0,0,0,0,3,10000,5,0
3798,0,0,1,1,3,10000,5,0
1326,0,0,1,0,3,10000,5,0
2000,0,0,0,0,3,10000,5,0
7775,0,0,0,1,3,10000,5,0
3735,0,0,0,1,3,10000,5,0
2705,0,0,0,0,3,10000,5,0
5082,0,0,0,1,3,10000,5,0
2011,1,0,0,0,3,10000,5,0
3535,0,0,0,0,3,10000,5,0
2102,0,0,0,1,3,10000,5,0
2742,0,0,0,1,3,10000,5,0
5961,1,0,1,1,3,10000,5,0
3224,0,0,0,0,3,10000,5,1
2396,0,0,0,1,3,10000,5,0
2674,0,0,0,1,3,10000,5,0
4378,0,1,0,1,3,10000,5,0
1659,0,0,0,1,3,10000,5,0
